day,L,M,S
111,1,61.326099999999997,3.4959999999999998E-2
112,1,61.399099999999997,3.4950000000000002E-2
113,1,61.471699999999998,3.4939999999999999E-2
114,1,61.543900000000001,3.4930000000000003E-2
115,1,61.615600000000001,3.492E-2
116,1,61.686999999999998,3.4909999999999997E-2
117,1,61.758000000000003,3.49E-2
118,1,61.828600000000002,3.4889999999999997E-2
119,1,61.898800000000001,3.4880000000000001E-2
120,1,61.968600000000002,3.4869999999999998E-2
121,1,62.0381,3.4869999999999998E-2
122,1,62.107100000000003,3.4860000000000002E-2
123,1,62.175800000000002,3.4849999999999999E-2
124,1,62.244100000000003,3.4840000000000003E-2
125,1,62.311999999999998,3.483E-2
126,1,62.3795,3.4819999999999997E-2
127,1,62.4467,3.4810000000000001E-2
128,1,62.513500000000001,3.4799999999999998E-2
129,1,62.58,3.4790000000000001E-2
130,1,62.646099999999997,3.4790000000000001E-2
131,1,62.711799999999997,3.4779999999999998E-2
132,1,62.777200000000001,3.4770000000000002E-2
133,1,62.842300000000002,3.4759999999999999E-2
134,1,62.906999999999996,3.4750000000000003E-2
135,1,62.971400000000003,3.4750000000000003E-2
136,1,63.035400000000003,3.474E-2
137,1,63.0991,3.4729999999999997E-2
138,1,63.162599999999998,3.4720000000000001E-2
139,1,63.225700000000003,3.4709999999999998E-2
140,1,63.288400000000003,3.4709999999999998E-2
141,1,63.350900000000003,3.4700000000000002E-2
142,1,63.4131,3.4689999999999999E-2
143,1,63.475000000000001,3.4689999999999999E-2
144,1,63.536499999999997,3.4680000000000002E-2
145,1,63.597799999999999,3.4669999999999999E-2
146,1,63.658799999999999,3.4669999999999999E-2
147,1,63.7196,3.4660000000000003E-2
148,1,63.78,3.465E-2
149,1,63.840200000000003,3.465E-2
150,1,63.9,3.4639999999999997E-2
151,1,63.959699999999998,3.4630000000000001E-2
152,1,64.019000000000005,3.4630000000000001E-2
153,1,64.078100000000006,3.4619999999999998E-2
154,1,64.137,3.4610000000000002E-2
155,1,64.195599999999999,3.4610000000000002E-2
156,1,64.253900000000002,3.4599999999999999E-2
157,1,64.311999999999998,3.4599999999999999E-2
158,1,64.369900000000001,3.4590000000000003E-2
159,1,64.427599999999998,3.4590000000000003E-2
160,1,64.484999999999999,3.458E-2
161,1,64.542199999999994,3.4569999999999997E-2
162,1,64.599100000000007,3.4569999999999997E-2
163,1,64.655900000000003,3.456E-2
164,1,64.712400000000002,3.456E-2
165,1,64.768799999999999,3.4549999999999997E-2
166,1,64.8249,3.4549999999999997E-2
167,1,64.880799999999994,3.4540000000000001E-2
168,1,64.936599999999999,3.4540000000000001E-2
169,1,64.992099999999994,3.4529999999999998E-2
170,1,65.047399999999996,3.4529999999999998E-2
171,1,65.102599999999995,3.4529999999999998E-2
172,1,65.157600000000002,3.4520000000000002E-2
173,1,65.212299999999999,3.4520000000000002E-2
174,1,65.266999999999996,3.4509999999999999E-2
175,1,65.321399999999997,3.4509999999999999E-2
176,1,65.375699999999995,3.4500000000000003E-2
177,1,65.4298,3.4500000000000003E-2
178,1,65.483699999999999,3.4500000000000003E-2
179,1,65.537499999999994,3.449E-2
180,1,65.591099999999997,3.449E-2
181,1,65.644499999999994,3.449E-2
182,1,65.697800000000001,3.4479999999999997E-2
183,1,65.751000000000005,3.4479999999999997E-2
184,1,65.804000000000002,3.4470000000000001E-2
185,1,65.856800000000007,3.4470000000000001E-2
186,1,65.909499999999994,3.4470000000000001E-2
187,1,65.962100000000007,3.4470000000000001E-2
188,1,66.014499999999998,3.4459999999999998E-2
189,1,66.066800000000001,3.4459999999999998E-2
190,1,66.118899999999996,3.4459999999999998E-2
191,1,66.170900000000003,3.4450000000000001E-2
192,1,66.222800000000007,3.4450000000000001E-2
193,1,66.274500000000003,3.4450000000000001E-2
194,1,66.326099999999997,3.4439999999999998E-2
195,1,66.377600000000001,3.4439999999999998E-2
196,1,66.429000000000002,3.4439999999999998E-2
197,1,66.480199999999996,3.4439999999999998E-2
198,1,66.531300000000002,3.4439999999999998E-2
199,1,66.582300000000004,3.4430000000000002E-2
200,1,66.633099999999999,3.4430000000000002E-2
201,1,66.683899999999994,3.4430000000000002E-2
202,1,66.734499999999997,3.4430000000000002E-2
203,1,66.784999999999997,3.4419999999999999E-2
