day,L,M,S
270,1,43.773800000000001,3.0540000000000001E-2
271,1,43.788200000000003,3.0540000000000001E-2
272,1,43.802500000000002,3.0540000000000001E-2
273,1,43.816699999999997,3.0530000000000002E-2
274,1,43.8309,3.0530000000000002E-2
275,1,43.844999999999999,3.0530000000000002E-2
276,1,43.859000000000002,3.0519999999999999E-2
277,1,43.872999999999998,3.0519999999999999E-2
278,1,43.886899999999997,3.0519999999999999E-2
279,1,43.900700000000001,3.0509999999999999E-2
280,1,43.914499999999997,3.0509999999999999E-2
281,1,43.928199999999997,3.0509999999999999E-2
282,1,43.941899999999997,3.0499999999999999E-2
283,1,43.955500000000001,3.0499999999999999E-2
284,1,43.969000000000001,3.0499999999999999E-2
285,1,43.982399999999998,3.049E-2
286,1,43.995899999999999,3.049E-2
287,1,44.0092,3.049E-2
288,1,44.022500000000001,3.049E-2
289,1,44.035699999999999,3.048E-2
290,1,44.048900000000003,3.048E-2
291,1,44.061999999999998,3.048E-2
292,1,44.075099999999999,3.0470000000000001E-2
293,1,44.088000000000001,3.0470000000000001E-2
294,1,44.100999999999999,3.0470000000000001E-2
295,1,44.113900000000001,3.0460000000000001E-2
296,1,44.1267,3.0460000000000001E-2
297,1,44.139499999999998,3.0460000000000001E-2
298,1,44.152200000000001,3.0450000000000001E-2
299,1,44.1648,3.0450000000000001E-2
300,1,44.177399999999999,3.0450000000000001E-2
301,1,44.19,3.0450000000000001E-2
302,1,44.202500000000001,3.0439999999999998E-2
303,1,44.2149,3.0439999999999998E-2
304,1,44.2273,3.0439999999999998E-2
305,1,44.239600000000003,3.0429999999999999E-2
306,1,44.251899999999999,3.0429999999999999E-2
307,1,44.264099999999999,3.0429999999999999E-2
308,1,44.276299999999999,3.0429999999999999E-2
309,1,44.288400000000003,3.0419999999999999E-2
310,1,44.3005,3.0419999999999999E-2
311,1,44.3125,3.0419999999999999E-2
312,1,44.3245,3.041E-2
313,1,44.336399999999998,3.041E-2
314,1,44.348300000000002,3.041E-2
315,1,44.360100000000003,3.04E-2
316,1,44.371899999999997,3.04E-2
317,1,44.383600000000001,3.04E-2
318,1,44.395200000000003,3.04E-2
319,1,44.4069,3.039E-2
320,1,44.418399999999998,3.039E-2
321,1,44.43,3.039E-2
322,1,44.441400000000002,3.0380000000000001E-2
323,1,44.4529,3.0380000000000001E-2
324,1,44.464300000000001,3.0380000000000001E-2
325,1,44.4756,3.0380000000000001E-2
326,1,44.486899999999999,3.0370000000000001E-2
327,1,44.498100000000001,3.0370000000000001E-2
328,1,44.509300000000003,3.0370000000000001E-2
329,1,44.520499999999998,3.0370000000000001E-2
330,1,44.531599999999997,3.0360000000000002E-2
331,1,44.542700000000004,3.0360000000000002E-2
332,1,44.553699999999999,3.0360000000000002E-2
333,1,44.564599999999999,3.0349999999999999E-2
334,1,44.575600000000001,3.0349999999999999E-2
335,1,44.586500000000001,3.0349999999999999E-2
336,1,44.597299999999997,3.0349999999999999E-2
337,1,44.6081,3.0339999999999999E-2
338,1,44.618899999999996,3.0339999999999999E-2
339,1,44.629600000000003,3.0339999999999999E-2
340,1,44.6402,3.0339999999999999E-2
341,1,44.6509,3.0329999999999999E-2
342,1,44.661499999999997,3.0329999999999999E-2
343,1,44.671999999999997,3.0329999999999999E-2
344,1,44.682499999999997,3.032E-2
345,1,44.692999999999998,3.032E-2
346,1,44.703400000000002,3.032E-2
347,1,44.713799999999999,3.032E-2
348,1,44.7241,3.031E-2
349,1,44.734400000000001,3.031E-2
350,1,44.744700000000002,3.031E-2
351,1,44.754899999999999,3.031E-2
352,1,44.765099999999997,3.0300000000000001E-2
353,1,44.775199999999998,3.0300000000000001E-2
354,1,44.785299999999999,3.0300000000000001E-2
355,1,44.795400000000001,3.0300000000000001E-2
356,1,44.805399999999999,3.0290000000000001E-2
357,1,44.815399999999997,3.0290000000000001E-2
358,1,44.825400000000002,3.0290000000000001E-2
359,1,44.835299999999997,3.0280000000000001E-2
360,1,44.845199999999998,3.0280000000000001E-2
361,1,44.854999999999997,3.0280000000000001E-2
362,1,44.864800000000002,3.0280000000000001E-2
363,1,44.874600000000001,3.0269999999999998E-2
364,1,44.884399999999999,3.0269999999999998E-2
365,1,44.893999999999998,3.0269999999999998E-2
366,1,44.903700000000001,3.0269999999999998E-2
367,1,44.9133,3.0259999999999999E-2
368,1,44.922899999999998,3.0259999999999999E-2
369,1,44.932499999999997,3.0259999999999999E-2
370,1,44.942,3.0259999999999999E-2
371,1,44.951500000000003,3.0249999999999999E-2
372,1,44.960900000000002,3.0249999999999999E-2
373,1,44.970399999999998,3.0249999999999999E-2
374,1,44.979700000000001,3.0249999999999999E-2
375,1,44.989100000000001,3.024E-2
376,1,44.998399999999997,3.024E-2
377,1,45.0077,3.024E-2
378,1,45.0169,3.024E-2
379,1,45.026200000000003,3.023E-2
380,1,45.035299999999999,3.023E-2
381,1,45.044499999999999,3.023E-2
382,1,45.053600000000003,3.023E-2
383,1,45.0627,3.022E-2
384,1,45.0717,3.022E-2
385,1,45.080800000000004,3.022E-2
386,1,45.089700000000001,3.022E-2
387,1,45.098700000000001,3.0210000000000001E-2
388,1,45.107599999999998,3.0210000000000001E-2
389,1,45.116500000000002,3.0210000000000001E-2
390,1,45.125399999999999,3.0210000000000001E-2
391,1,45.1342,3.0200000000000001E-2
392,1,45.143000000000001,3.0200000000000001E-2
393,1,45.151800000000001,3.0200000000000001E-2
394,1,45.160499999999999,3.0200000000000001E-2
395,1,45.169199999999996,3.0190000000000002E-2
396,1,45.177900000000001,3.0190000000000002E-2
397,1,45.186599999999999,3.0190000000000002E-2
398,1,45.1952,3.0190000000000002E-2
399,1,45.203800000000001,3.0190000000000002E-2
400,1,45.212400000000002,3.0179999999999998E-2
401,1,45.2209,3.0179999999999998E-2
402,1,45.229399999999998,3.0179999999999998E-2
403,1,45.237900000000003,3.0179999999999998E-2
404,1,45.246299999999998,3.0169999999999999E-2
405,1,45.254800000000003,3.0169999999999999E-2
406,1,45.263199999999998,3.0169999999999999E-2
407,1,45.271500000000003,3.0169999999999999E-2
