length_cm,L,M,S
76.3,-0.38329999999999997,9.3886000000000003,8.9880000000000002E-2
76.400000000000006,-0.38329999999999997,9.4069000000000003,8.9870000000000005E-2
76.5,-0.38329999999999997,9.4252000000000002,8.9849999999999999E-2
76.599999999999994,-0.38329999999999997,9.4435000000000002,8.9840000000000003E-2
76.7,-0.38329999999999997,9.4617000000000004,8.9829999999999993E-2
76.8,-0.38329999999999997,9.48,8.9810000000000001E-2
76.900000000000006,-0.38329999999999997,9.4983000000000004,8.9800000000000005E-2
77,-0.38329999999999997,9.5166000000000004,8.9789999999999995E-2
77.099999999999994,-0.38329999999999997,9.5350000000000001,8.9770000000000003E-2
77.2,-0.38329999999999997,9.5533000000000001,8.9760000000000006E-2
77.3,-0.38329999999999997,9.5716999999999999,8.9749999999999996E-2
77.400000000000006,-0.38329999999999997,9.5900999999999996,8.9730000000000004E-2
77.5,-0.38329999999999997,9.6085999999999991,8.9719999999999994E-2
77.599999999999994,-0.38329999999999997,9.6271000000000004,8.9709999999999998E-2
77.7,-0.38329999999999997,9.6456,8.9690000000000006E-2
77.8,-0.38329999999999997,9.6641999999999992,8.9679999999999996E-2
77.900000000000006,-0.38329999999999997,9.6828000000000003,8.9660000000000004E-2
78,-0.38329999999999997,9.7014999999999993,8.9649999999999994E-2
78.099999999999994,-0.38329999999999997,9.7202000000000002,8.9639999999999997E-2
78.2,-0.38329999999999997,9.7390000000000008,8.9630000000000001E-2
78.3,-0.38329999999999997,9.7577999999999996,8.9609999999999995E-2
78.400000000000006,-0.38329999999999997,9.7766999999999999,8.9599999999999999E-2
78.5,-0.38329999999999997,9.7957000000000001,8.9590000000000003E-2
78.599999999999994,-0.38329999999999997,9.8147000000000002,8.9569999999999997E-2
78.7,-0.38329999999999997,9.8338000000000001,8.9560000000000001E-2
78.8,-0.38329999999999997,9.8529999999999998,8.9550000000000005E-2
78.900000000000006,-0.38329999999999997,9.8721999999999994,8.9529999999999998E-2
79,-0.38329999999999997,9.8915000000000006,8.9520000000000002E-2
79.099999999999994,-0.38329999999999997,9.9108999999999998,8.9510000000000006E-2
79.2,-0.38329999999999997,9.9303000000000008,8.9499999999999996E-2
79.3,-0.38329999999999997,9.9498999999999995,8.9480000000000004E-2
79.400000000000006,-0.38329999999999997,9.9695,8.9469999999999994E-2
79.5,-0.38329999999999997,9.9892000000000003,8.9459999999999998E-2
79.599999999999994,-0.38329999999999997,10.009,8.9450000000000002E-2
79.7,-0.38329999999999997,10.0289,8.9429999999999996E-2
79.8,-0.38329999999999997,10.0489,8.9419999999999999E-2
79.900000000000006,-0.38329999999999997,10.069000000000001,8.9410000000000003E-2
80,-0.38329999999999997,10.0891,8.9399999999999993E-2
80.099999999999994,-0.38329999999999997,10.109400000000001,8.9389999999999997E-2
80.2,-0.38329999999999997,10.129799999999999,8.9370000000000005E-2
80.3,-0.38329999999999997,10.1503,8.9359999999999995E-2
80.400000000000006,-0.38329999999999997,10.1709,8.9349999999999999E-2
80.5,-0.38329999999999997,10.191599999999999,8.9340000000000003E-2
80.599999999999994,-0.38329999999999997,10.212300000000001,8.9330000000000007E-2
80.7,-0.38329999999999997,10.2332,8.9319999999999997E-2
80.8,-0.38329999999999997,10.254200000000001,8.9300000000000004E-2
80.900000000000006,-0.38329999999999997,10.2753,8.9289999999999994E-2
81,-0.38329999999999997,10.2965,8.9279999999999998E-2
81.099999999999994,-0.38329999999999997,10.3178,8.9270000000000002E-2
81.2,-0.38329999999999997,10.3393,8.9260000000000006E-2
81.3,-0.38329999999999997,10.360799999999999,8.9249999999999996E-2
81.400000000000006,-0.38329999999999997,10.382400000000001,8.924E-2
81.5,-0.38329999999999997,10.4041,8.9230000000000004E-2
81.599999999999994,-0.38329999999999997,10.425800000000001,8.9219999999999994E-2
81.7,-0.38329999999999997,10.447699999999999,8.9209999999999998E-2
81.8,-0.38329999999999997,10.4697,8.9200000000000002E-2
81.900000000000006,-0.38329999999999997,10.4918,8.9190000000000005E-2
82,-0.38329999999999997,10.513999999999999,8.9179999999999995E-2
82.1,-0.38329999999999997,10.536300000000001,8.9169999999999999E-2
82.2,-0.38329999999999997,10.5586,8.9160000000000003E-2
82.3,-0.38329999999999997,10.581099999999999,8.9149999999999993E-2
82.4,-0.38329999999999997,10.6037,8.9149999999999993E-2
82.5,-0.38329999999999997,10.626300000000001,8.9139999999999997E-2
82.6,-0.38329999999999997,10.649100000000001,8.9130000000000001E-2
82.7,-0.38329999999999997,10.671900000000001,8.9120000000000005E-2
82.8,-0.38329999999999997,10.694800000000001,8.9109999999999995E-2
82.9,-0.38329999999999997,10.7178,8.9099999999999999E-2
83,-0.38329999999999997,10.741,8.9099999999999999E-2
83.1,-0.38329999999999997,10.764099999999999,8.9090000000000003E-2
83.2,-0.38329999999999997,10.7874,8.9080000000000006E-2
83.3,-0.38329999999999997,10.8108,8.9069999999999996E-2
83.4,-0.38329999999999997,10.834300000000001,8.9069999999999996E-2
83.5,-0.38329999999999997,10.857799999999999,8.906E-2
83.6,-0.38329999999999997,10.881399999999999,8.9050000000000004E-2
83.7,-0.38329999999999997,10.905099999999999,8.9050000000000004E-2
83.8,-0.38329999999999997,10.928900000000001,8.9039999999999994E-2
83.9,-0.38329999999999997,10.9527,8.9029999999999998E-2
84,-0.38329999999999997,10.976699999999999,8.9029999999999998E-2
84.1,-0.38329999999999997,11.0007,8.9020000000000002E-2
84.2,-0.38329999999999997,11.024800000000001,8.9020000000000002E-2
84.3,-0.38329999999999997,11.0489,8.9010000000000006E-2
84.4,-0.38329999999999997,11.0731,8.9010000000000006E-2
84.5,-0.38329999999999997,11.0974,8.8999999999999996E-2
84.6,-0.38329999999999997,11.1218,8.8999999999999996E-2
84.7,-0.38329999999999997,11.1462,8.899E-2
84.8,-0.38329999999999997,11.1707,8.899E-2
